client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21324886.mp3	Neden on yıldan uzun bir süre bunun olmasına izin verildi?	3	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21324887.mp3	Sergi üç hafta süreyle açık kalacak.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21324884.mp3	Peki bu siyasi irade mevcut mu?	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21324881.mp3	Bu şüphelere ne yanıt veriyorsunuz?	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21324893.mp3	"Kosova'da çocuklara yönelik televizyon programları nasıl geliştirilebilir?"	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21324888.mp3	Birbiri ardına istifa ettiler.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325140.mp3	Bazı analistler iyimser görüşte.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325136.mp3	Yetkili bütün görevlerinden azledildi.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325143.mp3	Bunların otuz iki milyonu Slovenya üzerinden geldi.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325153.mp3	Ancak istisnalar da yok değil.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325151.mp3	"Buna karşın, Arnavutluk'ta asgari ücret yüz kırk iki avro."	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325164.mp3	Miloja da buna katılıyor.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325169.mp3	İki bölümlük ropörtaj dizisinin ikinci bölümü.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325174.mp3	Program Nisan ayında başlayacak.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325176.mp3	Kosova Şubat ayında bağımsızlık ilan etti.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325203.mp3	"Mesele Türkiye'de oldukça hassas bir sorun."	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325205.mp3	Hastalık dört yüz otuz bin hastada ileri seviyede.	2	0	twenties			tr	
4d84bf1a4b9160383fcd1c052ab2d9a01b8cf567b2d2fb8b4531b91f210c8f5cd37bb10c0a58482cd2a60af687fa250a7373d0219c6fa1dcd4d91ecf2cbf4cf8	common_voice_tr_21325210.mp3	İhracat tamamen askıya alındı.	2	0	twenties			tr	
c4b31c99544732ef2f300062b4be25c1a9260ed7234198c53df98fb661e36dc8a1750571f45b65ba814754f6ce306caba5b1259eb02d6c048873bede1d142039	common_voice_tr_17373087.mp3	Bu yönde bazı önemli adımlar atıldı.	2	1	thirties	female		tr	
c4b31c99544732ef2f300062b4be25c1a9260ed7234198c53df98fb661e36dc8a1750571f45b65ba814754f6ce306caba5b1259eb02d6c048873bede1d142039	common_voice_tr_17373100.mp3	Blöf yapmıyoruz.	2	0	thirties	female		tr	
c4b31c99544732ef2f300062b4be25c1a9260ed7234198c53df98fb661e36dc8a1750571f45b65ba814754f6ce306caba5b1259eb02d6c048873bede1d142039	common_voice_tr_17373101.mp3	Fakat bu durum kısa bir süre sonra değişecek.	2	0	thirties	female		tr	
c4b31c99544732ef2f300062b4be25c1a9260ed7234198c53df98fb661e36dc8a1750571f45b65ba814754f6ce306caba5b1259eb02d6c048873bede1d142039	common_voice_tr_17373103.mp3	Festival iki yıl içinde tekrarlanacak.	2	0	thirties	female		tr	
c4b31c99544732ef2f300062b4be25c1a9260ed7234198c53df98fb661e36dc8a1750571f45b65ba814754f6ce306caba5b1259eb02d6c048873bede1d142039	common_voice_tr_17373105.mp3	Bunlar ilk adımlar.	2	0	thirties	female		tr	
c4b31c99544732ef2f300062b4be25c1a9260ed7234198c53df98fb661e36dc8a1750571f45b65ba814754f6ce306caba5b1259eb02d6c048873bede1d142039	common_voice_tr_17384226.mp3	Para, hükümetin yedek fonlarından sağlanacak.	2	0	thirties	female		tr	
